1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,2,1,2,1,4,-1,11,7,1,1,-1,-1,-1,12,4,8,16,6,10,15,18,11,12,15,19,6,4
3,7,1,10,11,5,5,26,14,4,-1,-1,1,2,13,5,10,31,20,12,21,24,15,12,19,13,7,4
5,3,4,7,16,10,9,47,15,7,4,-1,6,4,15,7,14,25,61,29,20,30,17,11,34,14,7,5
10,6,8,24,13,16,9,59,21,8,8,-1,4,7,23,9,10,28,55,33,20,24,20,14,30,28,14,8
13,8,15,40,25,16,11,101,27,7,3,5,7,2,22,10,10,25,48,53,34,25,28,19,31,29,6,6
23,8,8,41,37,20,9,89,33,12,8,2,11,8,25,14,17,33,46,58,46,48,30,22,47,37,13,10
30,14,14,38,28,21,9,114,29,11,9,11,11,14,31,12,20,48,43,56,44,47,39,25,51,45,19,16
36,17,11,40,27,22,12,128,34,16,16,13,11,20,43,14,23,45,48,46,66,49,49,42,72,45,21,11
31,11,15,50,23,34,12,125,42,18,16,10,21,35,43,20,21,54,44,53,49,45,45,34,65,36,17,17
21,14,8,40,32,29,11,121,36,17,23,15,22,24,49,15,31,61,31,61,49,69,38,33,66,54,16,10
21,7,9,29,18,29,6,107,34,12,16,9,20,20,52,27,28,64,49,58,48,76,41,53,86,53,27,15
19,16,5,21,12,25,16,101,27,13,11,13,22,29,66,24,19,57,52,60,43,78,27,54,98,50,25,22
11,7,6,15,12,17,12,124,19,25,9,10,17,30,49,20,29,64,46,58,49,69,31,47,96,41,22,24
6,2,-1,12,9,13,12,83,31,14,12,16,21,33,58,27,30,58,37,69,48,72,30,44,85,53,16,17
1,2,4,-1,2,14,2,55,22,15,9,7,12,18,67,23,33,39,45,48,37,55,26,37,93,51,22,13
1,-1,-1,2,1,6,4,35,10,4,10,11,13,6,40,22,20,53,38,44,44,63,29,33,84,39,30,19
1,-1,-1,1,4,5,5,27,17,6,10,8,8,10,27,15,22,32,29,50,26,55,32,31,69,47,12,11
-1,2,3,2,-1,5,-1,32,12,6,2,4,8,14,26,14,26,23,29,43,32,51,30,41,50,43,14,5
1,-1,-1,-1,2,2,-1,20,4,3,7,4,5,9,20,16,18,28,28,30,21,35,18,34,51,35,18,7
1,-1,-1,1,1,3,1,8,7,6,6,5,3,4,20,7,13,18,26,34,20,51,15,24,45,14,16,9
-1,-1,-1,-1,-1,2,1,12,1,5,5,2,2,5,8,7,11,19,16,28,17,33,8,21,46,18,7,3
-1,-1,-1,-1,-1,2,-1,12,2,2,2,5,1,3,8,8,10,21,21,21,19,26,6,15,38,23,11,6
-1,-1,-1,-1,1,4,3,11,4,1,1,1,3,1,8,4,12,13,13,19,15,28,10,13,31,17,12,3
-1,-1,-1,1,1,3,-1,10,4,2,2,5,-1,-1,5,8,11,14,16,20,14,33,18,14,42,14,3,6
-1,-1,-1,-1,-1,2,-1,4,6,-1,-1,2,1,1,6,7,8,13,14,16,12,23,13,11,38,20,10,6
-1,-1,-1,-1,-1,-1,-1,7,-1,2,7,1,-1,2,13,5,6,13,14,14,14,20,8,12,44,16,8,7
-1,-1,-1,-1,-1,-1,2,4,2,3,1,2,-1,2,6,2,8,9,11,22,11,20,12,11,29,21,10,6
-1,-1,-1,-1,-1,1,-1,5,1,-1,3,1,-1,1,7,5,16,15,9,13,6,22,7,15,29,14,13,6
-1,-1,-1,-1,-1,1,1,2,4,1,1,1,-1,2,7,6,2,10,10,14,17,15,10,13,27,8,8,2
-1,-1,-1,-1,-1,-1,-1,5,6,1,4,-1,2,-1,3,4,4,14,5,9,10,15,10,18,27,15,8,8
-1,-1,-1,-1,-1,-1,-1,-1,3,-1,1,1,1,4,7,4,5,17,9,10,8,15,12,14,31,12,5,3
-1,-1,-1,-1,1,-1,-1,6,-1,-1,1,1,2,1,6,3,2,6,8,11,8,15,5,12,20,12,5,7
-1,-1,-1,-1,-1,2,-1,1,2,-1,3,-1,-1,2,7,6,3,1,7,14,6,18,9,4,12,13,6,3
-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,1,1,-1,3,5,2,8,6,10,8,18,3,7,16,5,7,6
-1,-1,-1,-1,-1,2,-1,2,-1,2,2,1,-1,-1,3,2,5,10,7,10,8,14,5,11,19,11,5,1
-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,1,6,-1,7,5,5,7,11,11,10,6,14,13,6,4
-1,-1,-1,-1,-1,-1,1,4,1,-1,-1,2,2,1,1,1,2,7,8,7,6,11,5,10,17,9,8,2
-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,2,6,2,2,7,5,6,4,12,8,11,6,7,3,1
-1,-1,1,-1,-1,-1,-1,2,1,-1,1,3,1,2,4,3,2,2,4,8,3,11,5,6,10,5,4,2
-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,3,4,5,7,3,8,4,14,4,7,8,12,4,2
-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,4,1,5,7,4,3,5,6,3,9,11,10,5,2
-1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,3,1,3,5,6,6,3,5,2,4,12,6,2,-1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,5,4,2,6,9,6,4,9,6,6,7,5,2,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,2,2,3,1,5,6,5,11,1,5,18,1,6,2
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,6,1,3,4,3,2,2,11,3,5,11,4,3,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,2,1,4,5,6,6,2,8,1,7,5,10,5,1
-1,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,1,-1,-1,2,2,4,6,5,1,4,5,6,1,1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,6,2,1,1,2,1,5,6,2,3,9,5,3,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,2,4,2,4,2,8,7,6,7,5,1,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,4,3,2,6,3,3,2,8,4,1,1
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,2,3,4,6,2,5,7,6,2,2
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,3,-1,2,5,6,6,4,7,4,15,10,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,2,5,4,4,2,3,6,6,3,7,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,2,5,3,5,4,-1,2,5,9,7,2,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,3,4,5,1,7,4,5,6,6,6,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,2,-1,2,4,6,5,6,4,3,5,3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,3,4,1,11,1,4,8,6,3,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,2,3,2,2,4,5,4,4,5,2,2,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,1,-1,2,3,3,3,5,1,5,3
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,2,3,1,2,1,6,4,2,7,1,5,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,2,1,2,4,3,3,6,3,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,4,2,1,2,3,2,2,4,3,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,2,1,3,2,2,2,1,6,7,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,3,4,2,1,3,2,1,2
-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,1,-1,1,3,1,5,1,1,2,2,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,2,1,1,2,1,4,6,3,1,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,4,-1,4,3,-1,1,2,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,-1,-1,1,2,1,4,2,-1,-1,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,3,2,2,2,1,4,3,4,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,2,-1,1,1,2,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,1,6,-1,2,2,-1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2,-1,2,1,3,3,2,2
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,1,-1,-1,-1,1,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,4,-1,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,5,3,-1,1,-1,4,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,1,1,4,2,2,-1,1,3,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,3,2,-1,7,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,4,-1,1,-1,1,-1,3,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,2,-1,-1,-1,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,1,-1,-1,1,1,1,3,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,2,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,2,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,2,1,-1,-1,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
